index,weighted_TFIDF_scores
0,0.11844723678208863
1,0.16837212922949424
2,0.11282918668748622
3,0.2984736277168385
4,0.10091554585713053
5,0.08982375662361503
6,0.1310274426048227
7,0.16337353486849554
8,0.30655477137732107
9,0.31245005544226956
10,0.18052669869997798
11,0.5415800960999338
12,0.27776269355917876
13,0.4303497991657932
14,0.8551264675262114
15,0.6017556623332598
16,0.9026334934998897
17,0.7736858515713341
18,0.588144725526584
19,0.5415800960999338
20,0.507731340093688
21,0.6017556623332598
22,0.5158450023241892
23,0.15473717031426684
24,0.19342146289283352
25,0.4227769419508236
26,0.7646900869172862
27,0.5194116715395833
28,0.38684292578566704
29,0.33157965067342887
30,1.1516866879518513
31,0.22620950981791693
32,0.34300770762047955
33,0.4131683750883049
34,0.40298820366174043
35,1.015462680187376
36,0.47786479067641224
37,0.367590453454115
38,0.40121277958548046
39,0.40121277958548046
40,0.4227769419508236
41,0.23146891129931563
42,0.12570248004119774
43,0.42987083527015757
44,0.4328430596163194
45,0.23609621433617425
46,0.4661386795868055
47,0.2634696884621075
48,0.31507753153209855
49,0.3224031264526182
50,0.4010077674044891
51,0.5852281450351499
52,0.12085165593012
53,0.3528868353159504
54,0.08132691478084063
55,0.1138344630051453
56,0.08830110262498922
57,0.5920181318069313
58,0.22256716278079475
59,0.22055427207246903
60,0.12308638547725771
61,0.5631502780893513
62,0.2713344552818719
63,0.2820973437359001
64,0.42364680810994426
65,0.10759869458939084
66,0.36189946960329844
67,0
68,0.2816411042592884
69,0.3859951475952936
70,0.31183483849696964
71,0.18052669869997798
72,0.17150385381023978
73,0.126932835023422
74,0.16841887644658154
75,0.2208405005619277
76,0
77,0.1289319752048611
78,0.21783137982466072
79,0.18241985717420695
80,0.13984160387604166
81,0.1897241050085755
82,0.21663203843997358
83,0.13396030719718882
84,0.13653279733611778
85,0.38676418648133093
86,0.22984308060814565
87,0.1463729989459281
88,0.39627811909751265
89,0.3053666026556562
90,0.4898737343120872
91,0.13539502402498346
92,0.1223504139067658
93,0.1664560543943162
94,0.18501464059246156
95,0.21752500098007976
96,0.18462957821588658
97,0.25776944952837383
98,0.1421620085145403
99,0.2840532578732096
100,0.11282918668748622
101,0.15622502772113478
102,0.12894764192855568
103,0.28032427636210655
104,0.12484736112935285
105,0.20993691955054208
106,0.261574223077488
107,0.19117788947780337
108,0.3167452770915471
109,0.18255508857301142
110,0.14800453295173283
111,0.24851185585630312
112,0.3778465786743725
113,0.30655477137732107
114,0.22334609830123442
115,0
116,0.22256716278079475
117,0.16247402882998016
